epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.074,1.12414,1.67942,1.37631,0.61465,0.62755,0.59047,0.31335,1.31206,1.59893,1.64063,0.000665072,0.000665072,0.000665072
2,215.344,1.1734,1.1149,1.40667,0.84726,0.75669,0.81248,0.56445,1.12691,0.92843,1.42533,0.00124934,0.00124934,0.00124934
3,315.33,1.15495,1.0204,1.38817,0.77557,0.79681,0.79863,0.54244,1.12377,0.96014,1.45213,0.0017511,0.0017511,0.0017511
4,414.694,1.12003,0.95189,1.3674,0.90437,0.81363,0.8517,0.62345,1.01557,0.74139,1.36979,0.00162875,0.00162875,0.00162875
5,513.568,1.06851,0.87621,1.33713,0.92562,0.7994,0.85747,0.64686,0.98073,0.70539,1.32573,0.001505,0.001505,0.001505
6,612.679,1.0267,0.82173,1.30839,0.87131,0.81788,0.84316,0.63963,0.94076,0.62749,1.28963,0.00138125,0.00138125,0.00138125
7,712.705,0.93898,0.67588,1.29125,0.93073,0.83607,0.88643,0.67813,0.91728,0.60075,1.27196,0.0012575,0.0012575,0.0012575
8,811.702,0.90933,0.6343,1.26707,0.9267,0.85634,0.89182,0.68084,0.91553,0.59154,1.24755,0.00113375,0.00113375,0.00113375
9,910.624,0.87753,0.60656,1.24401,0.94556,0.8516,0.89821,0.70347,0.86027,0.54613,1.22218,0.00101,0.00101,0.00101
10,1009.16,0.84884,0.57756,1.21873,0.9344,0.8665,0.90114,0.7085,0.83307,0.51516,1.19338,0.00088625,0.00088625,0.00088625
11,1107.63,0.81929,0.54566,1.19332,0.93544,0.85591,0.90233,0.7089,0.86421,0.51312,1.24261,0.0007625,0.0007625,0.0007625
12,1206.23,0.8073,0.53241,1.1897,0.95041,0.86806,0.90984,0.7268,0.80585,0.48896,1.17111,0.00063875,0.00063875,0.00063875
13,1305.7,0.77955,0.50811,1.1695,0.95624,0.85979,0.91019,0.73259,0.77778,0.45935,1.15398,0.000515,0.000515,0.000515
14,1404.92,0.7584,0.49196,1.1565,0.94873,0.8702,0.91368,0.73969,0.76325,0.44414,1.15014,0.00039125,0.00039125,0.00039125
15,1503.42,0.73144,0.46697,1.13822,0.95737,0.87195,0.9188,0.75181,0.73176,0.43252,1.11458,0.0002675,0.0002675,0.0002675
16,1602.17,0.71048,0.45004,1.1241,0.9581,0.87532,0.92063,0.76098,0.71446,0.42435,1.10421,0.00014375,0.00014375,0.00014375
