epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.924,1.38381,0.91573,1.3128,0.94918,0.91978,0.94655,0.60781,1.29041,0.62349,1.2231,0.000666163,0.000666163,0.000666163
2,650.468,1.258,0.7191,1.22483,0.9241,0.91938,0.9348,0.57779,1.34057,0.67343,1.25868,0.00125036,0.00125036,0.00125036
3,941.904,1.23195,0.69222,1.21249,0.97065,0.92308,0.95775,0.60831,1.3236,0.60153,1.23142,0.00175206,0.00175206,0.00175206
4,1231.13,1.19882,0.65577,1.19154,0.9652,0.92073,0.96458,0.6445,1.21752,0.54014,1.19841,0.00162875,0.00162875,0.00162875
5,1520.45,1.17555,0.63,1.18212,0.97595,0.93199,0.96783,0.64905,1.21736,0.53511,1.1875,0.001505,0.001505,0.001505
6,1810.31,1.15282,0.60298,1.16618,0.96186,0.93949,0.96922,0.6352,1.25914,0.51427,1.20149,0.00138125,0.00138125,0.00138125
7,2100.7,1.12259,0.51205,1.16405,0.97792,0.93491,0.97478,0.67068,1.17459,0.51186,1.17753,0.0012575,0.0012575,0.0012575
8,2389.61,1.1009,0.49206,1.14949,0.98386,0.94375,0.98011,0.67057,1.17293,0.48046,1.16198,0.00113375,0.00113375,0.00113375
9,2678.77,1.08571,0.4718,1.13798,0.97734,0.94512,0.97791,0.68032,1.14382,0.4702,1.15464,0.00101,0.00101,0.00101
10,2968.52,1.0722,0.45807,1.14004,0.9802,0.9521,0.97777,0.68267,1.1475,0.46482,1.15021,0.00088625,0.00088625,0.00088625
11,3260.11,1.05979,0.44624,1.12858,0.97953,0.95497,0.98009,0.6844,1.13738,0.44703,1.1516,0.0007625,0.0007625,0.0007625
12,3551.21,1.04558,0.43192,1.11848,0.98012,0.948,0.97919,0.68786,1.13406,0.43896,1.14862,0.00063875,0.00063875,0.00063875
13,3842.62,1.02889,0.41839,1.10803,0.98177,0.94934,0.98252,0.69697,1.12331,0.42901,1.13735,0.000515,0.000515,0.000515
14,4133.05,1.0155,0.40761,1.0983,0.98023,0.95779,0.98244,0.69397,1.12054,0.42232,1.13321,0.00039125,0.00039125,0.00039125
15,4424.16,1.00213,0.39705,1.09374,0.97994,0.95685,0.98303,0.69865,1.10988,0.42102,1.13102,0.0002675,0.0002675,0.0002675
16,4715.73,0.99138,0.38741,1.08566,0.98127,0.95732,0.98331,0.70316,1.11034,0.41787,1.12716,0.00014375,0.00014375,0.00014375
